WHO Region,WHO Country Name,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),PM25 temporal coverage (%),PM10 temporal coverage (%),NO2 temporal coverage (%)
African Region,Algeria,21.53,,,44.0,,
African Region,Cameroon,82.66666666666667,103.66666666666667,,,,
African Region,Ethiopia,26.2025,,,66.00952496249995,,
African Region,Ghana,55.0,175.375,,,78.72023809523807,
African Region,Kenya,8.35,18.65,,29.0,29.0,
African Region,Madagascar,46.75,84.0,,50.0,50.0,
African Region,Mauritius,,30.85818181818182,14.95,,70.26285714285711,75.0
African Region,Nigeria,27.43,,,60.0,,
African Region,Senegal,29.88,135.51714285714286,23.911,86.33333333333333,100.0,75.0
African Region,South Africa,23.131326530612245,42.72204724409449,23.16646017699115,75.0,75.0,75.0
African Region,Uganda,69.3,170.4,,90.06754293333334,,
African Region,United Republic of Tanzania,23.32,35.1,,,,
Eastern Mediterranean Region,Afghanistan,119.77,,,18.0,,
Eastern Mediterranean Region,Bahrain,53.90555555555555,166.22857142857143,51.625,87.15352044033484,83.47031963470313,80.82191780821915
Eastern Mediterranean Region,Egypt,,227.0,,,,
Eastern Mediterranean Region,Iran (Islamic Republic of),34.88545454545454,112.31481012658229,67.11944444444445,,,
Eastern Mediterranean Region,Iraq,43.339999999999996,161.64625,53.527,76.0,,
Eastern Mediterranean Region,Jordan,22.915,71.98388888888888,22.206666666666667,45.0,92.12460317460315,95.3896825396825
Eastern Mediterranean Region,Kuwait,48.208999999999996,131.5069090909091,44.590625,60.99303919696968,78.74704761904762,92.63369270833331
Eastern Mediterranean Region,Lebanon,24.614285714285717,45.18571428571429,53.0,66.03084801043704,66.03084801043704,66.0
Eastern Mediterranean Region,Morocco,,38.12,18.154444444444447,,75.0,
Eastern Mediterranean Region,Pakistan,67.83090909090909,333.5425,24.266666666666666,63.74999999999997,90.0,
Eastern Mediterranean Region,Qatar,38.0,139.66666666666666,,,,
Eastern Mediterranean Region,Saudi Arabia,62.824,148.94,,82.8,94.2,
Eastern Mediterranean Region,Tunisia,,78.75,,,,
Eastern Mediterranean Region,United Arab Emirates,45.426,120.7397142857143,32.80222222222222,86.4448686625,,
European Region,Albania,19.372,25.575,20.325,,,88.63786429749999
European Region,Andorra,,25.701428571428572,28.455714285714286,,,95.74234776714286
European Region,Austria,13.232034632034631,18.71865979381443,19.42944380069525,98.22745454545453,98.06565446252465,94.47344242141514
European Region,Belgium,12.693417721518987,21.104837837837838,21.71407809110629,94.83779175588889,93.02339638666668,95.1019783175241
European Region,Bosnia and Herzegovina,46.68076923076923,43.77074074074074,21.513870967741934,84.5835,83.265,93.88282243129031
European Region,Bulgaria,20.536037735849057,36.97447488584475,18.974453125,94.2465,95.98479146141214,94.44152374692187
European Region,Croatia,16.059444444444445,24.86943661971831,18.33409836065574,61.0,89.97057692307693,91.74734507606557
European Region,Cyprus,14.882,32.60444444444445,15.94157894736842,88.81458333333333,93.0311111111111,97.52896346982456
European Region,Czechia,18.89109756097561,23.92263543191801,16.271180904522613,97.5732409181989,97.50974754590521,95.26495313419501
European Region,Denmark,11.3615625,20.428529411764707,14.347096774193549,91.1656111111111,91.172875,92.5049403157258
European Region,Estonia,6.018148148148149,12.723,6.7751785714285715,98.80132973377358,98.59818746811966,98.77045107398808
European Region,Finland,6.2004716981132075,12.739095238095238,13.281898734177215,97.68935416666666,96.30059628538461,97.40062409216245
European Region,France,11.609813486370157,19.207932464454977,19.228453159041397,91.09031313131314,94.90751380767412,97.3763047912349
European Region,Georgia,24.5,42.3725,,86.5,83.0,
European Region,Germany,12.862133971291867,18.435438596491228,24.708707003729796,96.54250811537878,97.73697955696723,97.45421025950604
European Region,Greece,16.615675675675675,31.621340206185568,25.018859649122806,94.01826484,89.89613906181818,93.28846837078946
